beta_e_phys,gamma_exch_phys,gamma_drain_phys,B_eff,E_ind,em_scale,be7_scale,D_over_H,Y_p,Li7_over_H,Be7_over_H,Li_total_over_H,screening_eff,capture_eff,beta_response_ok,exchange_response_ok,drain_response_ok,chi_D,chi_Y,chi_Li7,chi_Li_total,passes_D,passes_Y,passes_Li7,passes_Li_total,passes_all,chi_sum,em_softness
0.96,1.07,0.62,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2280341467889908e-10,0.0,1.2280341467889908e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.3598292660550457,0.3598292660550457,True,True,True,True,True,0.8885304327767523,0.7142857142857142
0.96,1.07,0.64,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.211364e-10,0.0,1.211364e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.4431799999999997,0.4431799999999997,True,True,True,True,True,1.0552319006666602,0.7142857142857142
0.96,1.07,0.66,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1951403749999998e-10,0.0,1.1951403749999998e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.5242981250000006,0.5242981250000006,True,True,True,True,True,1.217468150666662,0.7142857142857142
0.96,1.07,0.68,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1793455682819382e-10,0.0,1.1793455682819382e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.6032721585903084,0.6032721585903084,True,True,True,True,True,1.3754162178472775,0.7142857142857142
0.96,1.07,0.7,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1639628e-10,0.0,1.1639628e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.6801859999999993,0.6801859999999993,True,True,True,True,True,1.5292439006666594,0.7142857142857142
0.96,1.07,0.72,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1489761545064378e-10,0.0,1.1489761545064378e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.7551192274678105,0.7551192274678105,True,True,True,True,True,1.6791103556022817,0.7142857142857142
0.96,1.09,0.56,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2932919999999996e-10,0.0,1.2932919999999996e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.033540000000001575,0.033540000000001575,True,True,True,True,True,0.235951900666664,0.7142857142857142
0.96,1.09,0.58,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2749906981132071e-10,0.0,1.2749906981132071e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.12504650943396378,0.12504650943396378,True,True,True,True,True,0.4189649195345884,0.7142857142857142
0.96,1.09,0.6,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.257200130232558e-10,0.0,1.257200130232558e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.21399934883720942,0.21399934883720942,True,True,True,True,True,0.5968705983410797,0.7142857142857142
0.96,1.09,0.62,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.239899211009174e-10,0.0,1.239899211009174e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.3005039449541292,0.3005039449541292,True,True,True,True,True,0.7698797905749193,0.7142857142857142
0.96,1.09,0.64,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2230679999999998e-10,0.0,1.2230679999999998e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.38466000000000067,0.38466000000000067,True,True,True,True,True,0.9381919006666621,0.7142857142857142
0.96,1.09,0.66,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.2066876249999998e-10,0.0,1.2066876249999998e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.4665618750000008,0.4665618750000008,True,True,True,True,True,1.1019956506666624,0.7142857142857142
0.96,1.09,0.68,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1907402114537443e-10,0.0,1.1907402114537443e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.546298942731278,0.546298942731278,True,True,True,True,True,1.2614697861292168,0.7142857142857142
0.96,1.09,0.7,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1752088173913043e-10,0.0,1.1752088173913043e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.6239559130434783,0.6239559130434783,True,True,True,True,True,1.4167837267536174,0.7142857142857142
0.96,1.09,0.72,0.2,0.1,0.952,0.9359999999999999,2.53079115702e-05,0.24377,1.1600773733905578e-10,0.0,1.1600773733905578e-10,0.997952,0.989976,True,True,True,0.12637190066666693,0.04249999999999393,0.6996131330472107,0.6996131330472107,True,True,True,True,True,1.5680981667610823,0.7142857142857142
