galaxy,source,q_flag,fit_status,n_points,vh_best,chi2_min,chi2_vh0,delta_chi2_vh0,vh_minus,vh_plus,vh_bs_p16,vh_bs_p50,vh_bs_p84,rho0_r0_1kpc
NGC3953,data/SPARC/Rotmod\NGC3953_rotmod.dat,1,boundary_zero,8,0.0,69.07293117977918,69.07293117977918,0.0,0.0,8.11637367274838,0.0,0.0,0.0,0.0
NGC3972,data/SPARC/Rotmod\NGC3972_rotmod.dat,1,ok,10,53.7,88.01924638767542,121.93919199765196,33.91994560997654,3.022960279125229,2.906967156691465,42.4256,53.69,62.224,53355396.63055816
NGC3992,data/SPARC/Rotmod\NGC3992_rotmod.dat,1,ok,9,148.02,45.37938145062557,74.8515568491003,29.472175398474732,3.5424734968368625,3.5006481631596387,139.34,147.43,154.7488,405387712.6480161
NGC4010,data/SPARC/Rotmod\NGC4010_rotmod.dat,2,ok,12,42.14,115.84031957520573,135.66572022898453,19.8254006537788,3.736991841291008,3.513445497439122,31.361600000000003,41.71,53.812799999999996,32856314.26625397
NGC4013,data/SPARC/Rotmod\NGC4013_rotmod.dat,2,ok,36,83.48,1445.6249996775155,1558.7701580862445,113.145158408729,1.7122528198049167,1.698116593151937,69.9312,83.43,94.63600000000001,128942077.15628994
NGC4051,data/SPARC/Rotmod\NGC4051_rotmod.dat,2,boundary_zero,7,0.0,104.70544359698778,104.70544359698778,0.0,0.0,7.157518182420018,0.0,0.0,0.0,0.0
NGC4068,data/SPARC/Rotmod\NGC4068_rotmod.dat,2,ok,6,10.065,22.82587883082992,27.225654655079808,4.399775824249886,2.927401516436933,2.3519096621869178,2.8917,10.065,14.352,1874378.6971645027
NGC4085,data/SPARC/Rotmod\NGC4085_rotmod.dat,2,boundary_zero,7,0.0,219.1782268360194,219.1782268360194,0.0,0.0,4.587176921832275,0.0,0.0,0.0,0.0
NGC4088,data/SPARC/Rotmod\NGC4088_rotmod.dat,1,boundary_zero,12,0.0,619.0067617518,619.0067617518,0.0,0.0,4.746406671948941,0.0,0.0,0.0,0.0
NGC4100,data/SPARC/Rotmod\NGC4100_rotmod.dat,1,ok,24,86.18,160.3694034378841,219.74860310159545,59.37919966371135,2.400291055217579,2.3520436959620525,80.8112,86.68,91.6976,137417727.0352018
NGC4138,data/SPARC/Rotmod\NGC4138_rotmod.dat,2,ok,7,57.72,22.861819074341483,24.844438212768914,1.982619138427431,13.500228444015761,11.203185401264676,33.107200000000006,58.06,71.76,61642809.74922163
NGC4157,data/SPARC/Rotmod\NGC4157_rotmod.dat,1,boundary_zero,17,0.0,360.6636329582609,360.6636329582609,0.0,0.0,11.729268961829144,0.0,0.0,33.322399999999995,0.0
NGC4183,data/SPARC/Rotmod\NGC4183_rotmod.dat,1,ok,23,73.64,71.79224572918739,204.2327376530756,132.4404919238882,1.6204653422904158,1.6164245678141924,70.97680000000001,73.55,76.16,100336128.80575362
NGC4214,data/SPARC/Rotmod\NGC4214_rotmod.dat,2,ok,14,58.22,41.44311176908872,123.17965109244636,81.73653932335765,2.0655295568330487,2.0451013430050935,54.8072,58.78,62.0664,62715398.114362635
NGC4217,data/SPARC/Rotmod\NGC4217_rotmod.dat,1,boundary_zero,19,0.0,1595.2945838913838,1595.2945838913838,0.0,0.0,3.9199090775510634,0.0,0.0,0.0,0.0
NGC4389,data/SPARC/Rotmod\NGC4389_rotmod.dat,3,boundary_zero,6,0.0,479.21468814459195,479.21468814459195,0.0,0.0,3.864618335365543,0.0,0.0,0.0,0.0
NGC4559,data/SPARC/Rotmod\NGC4559_rotmod.dat,1,ok,32,61.28,355.99493779254567,473.16391667042734,117.16897887788167,1.6170348291379,1.57919509346587,56.4304,61.480000000000004,65.3856,69481197.44990017
NGC5005,data/SPARC/Rotmod\NGC5005_rotmod.dat,1,boundary_zero,18,0.0,251.4164593960225,251.4164593960225,0.0,0.0,9.156319517333118,0.0,0.0,0.0,0.0
NGC5033,data/SPARC/Rotmod\NGC5033_rotmod.dat,1,ok,22,138.3,925.0629156867981,1327.5916964373687,402.5287807505706,0.9468843364489032,0.9439913491308403,133.8968,138.74,142.8432,353894767.55790555
NGC5055,data/SPARC/Rotmod\NGC5055_rotmod.dat,1,boundary_zero,28,0.0,95924.39957973869,95924.39957973869,0.0,0.0,0.6909378425155125,0.0,0.0,40.794399999999996,0.0
NGC5371,data/SPARC/Rotmod\NGC5371_rotmod.dat,1,boundary_zero,19,0.0,2412.544624918309,2412.544624918309,0.0,0.0,2.314995922285942,0.0,0.0,0.0,0.0
NGC5585,data/SPARC/Rotmod\NGC5585_rotmod.dat,1,ok,24,25.28,3765.2536951006236,4146.848758621301,381.59506352067774,0.6796369439175187,0.656891026657437,14.611440000000002,24.490000000000002,35.615199999999994,11824530.899653742
NGC5907,data/SPARC/Rotmod\NGC5907_rotmod.dat,1,ok,19,123.32,718.8533573383503,1028.666757469989,309.8134001316388,1.0562656529149734,1.0693117798854672,116.6872,123.78999999999999,129.45520000000002,281382324.74332774
NGC5985,data/SPARC/Rotmod\NGC5985_rotmod.dat,1,ok,33,196.52,136.3810819814244,378.2067508347182,241.82566885329382,1.2551882709004758,1.247515943941437,193.1368,196.43,199.42000000000002,714567553.4845785
NGC6015,data/SPARC/Rotmod\NGC6015_rotmod.dat,2,ok,44,67.44,2489.107060954333,3011.478883537977,522.3718225836437,0.7840998971220472,0.7617844569893606,60.368,68.01,74.4864,84152089.60210735
NGC6195,data/SPARC/Rotmod\NGC6195_rotmod.dat,1,boundary_zero,23,0.0,1354.457591872274,1354.457591872274,0.0,0.0,3.3312354446898196,0.0,0.0,0.0,0.0
NGC6503,data/SPARC/Rotmod\NGC6503_rotmod.dat,1,ok,31,86.34,2326.937031024083,5300.504280683938,2973.5672496598554,0.33858093830686187,0.3487478488190021,84.36399999999999,86.39,88.2032,137928454.50045383
NGC6674,data/SPARC/Rotmod\NGC6674_rotmod.dat,1,ok,15,181.4,342.9312632366885,814.1075040470682,471.17624081037974,0.8861170750266467,0.9021175180444914,175.9512,181.07999999999998,186.0328,608841639.465158
NGC6789,data/SPARC/Rotmod\NGC6789_rotmod.dat,2,ok,4,24.06,27.145085462014915,55.041599282113935,27.89651382009902,2.8898515237911795,2.770197028096149,18.5185,24.46,34.96,10710778.232377741
NGC6946,data/SPARC/Rotmod\NGC6946_rotmod.dat,1,boundary_zero,58,0.0,5002.1570130611935,5002.1570130611935,0.0,0.0,1.0996485683981732,0.0,0.0,0.0,0.0
NGC7331,data/SPARC/Rotmod\NGC7331_rotmod.dat,1,boundary_zero,36,0.0,5836.340003639706,5836.340003639706,0.0,0.0,3.5469212978756786,0.0,0.0,0.0,0.0
NGC7793,data/SPARC/Rotmod\NGC7793_rotmod.dat,1,boundary_zero,46,0.0,116.89254652096827,116.89254652096827,0.0,0.0,6.642369915275144,0.0,0.0,7.185,0.0
NGC7814,data/SPARC/Rotmod\NGC7814_rotmod.dat,1,ok,18,132.04,501.88095589789333,654.1454683423443,152.264512444451,1.5427198612047448,1.5472582877877414,126.4648,131.99,137.1232,322582506.87414336
PGC51017,data/SPARC/Rotmod\PGC51017_rotmod.dat,3,boundary_zero,6,0.0,19.46689270546431,19.46689270546431,0.0,0.0,2.4297568333316217,0.0,0.0,0.0,0.0
UGC00128,data/SPARC/Rotmod\UGC00128_rotmod.dat,1,ok,22,109.64,834.076337733091,7729.3599614699815,6895.28362373689,0.24338521085554987,0.22906322454080907,108.09039999999999,109.8,111.2664,222416926.46436223
UGC00191,data/SPARC/Rotmod\UGC00191_rotmod.dat,1,ok,9,54.22,974.7470513330227,2087.8206584397267,1113.073607106704,0.5449750310435064,0.5534351541668912,44.0616,53.96,58.1832,54393725.81652208
UGC00634,data/SPARC/Rotmod\UGC00634_rotmod.dat,2,ok,4,90.9,100.68003069674879,564.2510749746921,463.5710442779433,0.9009182833951144,0.8893405345514225,86.96000000000001,91.53999999999999,93.82,152882419.68898955
UGC00731,data/SPARC/Rotmod\UGC00731_rotmod.dat,1,ok,12,53.54,188.58858513077857,655.1560039209545,466.5674187901759,0.8908016199143702,0.8739355322242162,49.6608,53.63,57.685599999999994,53037923.79625704
UGC00891,data/SPARC/Rotmod\UGC00891_rotmod.dat,2,ok,5,50.0,315.41976626529225,2493.0046066636764,2177.584840398384,0.404423575196283,0.3935247824705428,45.68,50.0,51.89919999999999,46256182.72990349
UGC01230,data/SPARC/Rotmod\UGC01230_rotmod.dat,1,ok,11,72.5,45.61303845775357,66.3756868827649,20.762648425011328,4.175712092494919,4.103106637774502,62.9536,72.39,82.1456,97253624.18962207
UGC01281,data/SPARC/Rotmod\UGC01281_rotmod.dat,1,ok,25,24.64,272.5793194723827,418.1686738888719,145.58935441648924,1.220306345140724,1.19967454535319,19.8168,24.93,29.6632,11233399.087333284
UGC02023,data/SPARC/Rotmod\UGC02023_rotmod.dat,2,ok,5,11.968,4.859078676912054,5.180715630751629,0.32163695383957513,0.0,8.739789306335748,0.0,11.968,22.080000000000002,2650165.1724402606
UGC02259,data/SPARC/Rotmod\UGC02259_rotmod.dat,2,ok,8,69.74000000000001,52.96517345158859,654.2215873068683,601.2564138552797,0.793769526992179,0.7720168700206358,67.9504,69.55,71.08319999999999,89989878.89724448
UGC02455,data/SPARC/Rotmod\UGC02455_rotmod.dat,3,boundary_zero,8,0.0,755.7110788807568,755.7110788807568,0.0,0.0,1.8655302268658693,0.0,0.0,0.0,0.0
UGC02487,data/SPARC/Rotmod\UGC02487_rotmod.dat,1,ok,17,261.7,139.24367843408058,489.84265950342194,350.59898106934133,1.0699268978206646,1.0513385272929554,259.15040000000005,261.68,263.32,1267176839.37712
UGC02885,data/SPARC/Rotmod\UGC02885_rotmod.dat,1,ok,19,171.66,263.80838844633155,290.2517250487345,26.44333660240295,3.790445534193992,3.7569943984732106,154.5968,170.5,184.6344,545215253.5856395
UGC02916,data/SPARC/Rotmod\UGC02916_rotmod.dat,2,boundary_zero,43,0.0,10405.883490443954,10405.883490443954,0.0,0.0,1.1838498833434943,0.0,0.0,0.0,0.0
UGC02953,data/SPARC/Rotmod\UGC02953_rotmod.dat,2,ok,115,133.5,30438.47430437965,32549.028768287244,2110.5544639075924,0.4149287400783521,0.404800524406113,124.75680000000001,133.81,142.3432,329755701.063209
UGC03205,data/SPARC/Rotmod\UGC03205_rotmod.dat,1,ok,48,129.06,1146.1221765733424,1616.604217059647,470.48204048630464,0.8783565988276507,0.8765059388077816,122.1112,128.76999999999998,133.4496,308186139.61569625
UGC03546,data/SPARC/Rotmod\UGC03546_rotmod.dat,1,ok,30,68.26,1321.4144939118542,1613.105213793528,291.6907198816739,1.0105065627408294,0.9986725235010852,60.7672,67.92,76.5264,86210933.79294227
UGC03580,data/SPARC/Rotmod\UGC03580_rotmod.dat,2,ok,47,59.08,11281.630228250346,12339.04133222545,1057.4111039751042,0.5432899692088,0.539924803116989,50.4904,59.07000000000001,67.5552,64581890.59493352
UGC04278,data/SPARC/Rotmod\UGC04278_rotmod.dat,1,ok,25,40.96,354.49835308871457,557.9686086225017,203.47025553378717,1.2303217201525882,1.1966891723841613,35.204,41.260000000000005,45.9232,31041998.75980242
UGC04305,data/SPARC/Rotmod\UGC04305_rotmod.dat,3,boundary_zero,22,0.0,51.49504068084767,51.49504068084767,0.0,0.0,2.15975890762868,0.0,0.0,0.0,0.0
UGC04325,data/SPARC/Rotmod\UGC04325_rotmod.dat,1,ok,8,64.78,104.59840350345291,295.9243158039035,191.32591230045057,1.3535164755576758,1.32635916053691,58.756800000000005,64.94,70.50319999999999,77644673.60280445
UGC04483,data/SPARC/Rotmod\UGC04483_rotmod.dat,2,ok,8,14.714250000000002,42.10482482390967,171.8106694761895,129.70584465227984,0.7850238553296744,0.7745622267807217,12.49365,14.472750000000001,16.235999999999997,4005954.778702258
UGC04499,data/SPARC/Rotmod\UGC04499_rotmod.dat,1,ok,9,46.519999999999996,108.71628996602945,285.0956265136065,176.37933654757703,1.333173243528826,1.2988554338460006,41.6368,46.56,50.136,40041394.4440338
UGC05005,data/SPARC/Rotmod\UGC05005_rotmod.dat,1,ok,11,49.44,63.755054189613304,82.68588898405851,18.930834794445204,4.141435734998922,3.9972698706994336,37.0984,49.33,62.0832,45225846.61231529
UGC05253,data/SPARC/Rotmod\UGC05253_rotmod.dat,2,boundary_zero,73,0.0,12202.060379731527,12202.060379731527,0.0,0.0,4.460809854701183,0.0,0.0,41.383199999999995,0.0
UGC05414,data/SPARC/Rotmod\UGC05414_rotmod.dat,1,ok,6,26.8,71.77928684493757,143.8342649178654,72.05497807292782,1.6761851992950056,1.6307723491741015,20.971999999999998,26.86,32.760000000000005,13289216.273570353
UGC05716,data/SPARC/Rotmod\UGC05716_rotmod.dat,2,ok,12,55.879999999999995,734.198014711825,6394.094555417043,5659.896540705218,0.24238438410827712,0.2567081033983172,54.24,56.27,58.7896,57775348.813647486
UGC05721,data/SPARC/Rotmod\UGC05721_rotmod.dat,1,ok,23,60.24,263.1054911511955,530.8818825762587,267.7763914250632,1.1768368205236541,1.1511366259517075,55.9368,60.41,63.903200000000005,67142840.09855962
